n t exp p1 p2 p3 p4 p22 
1.0 9.82325e-05 0.0005099035750718058 9.963302604025782e-06 0.0001215131750688311 0.00024421239052090045 0.00012830072141800032 0.00022874932311277096 
2.0 0.000114423 0.0005112259802716655 1.4653223892424738e-05 0.00012575960690318155 0.0002476754031756591 0.0001325102799122973 0.00023145460535663745 
3.0 0.000124937 0.0005125518150523287 1.9343145180823697e-05 0.00013000678046675603 0.00025114075447257427 0.00013672065049962837 0.00023416780427761502 
4.0 0.00011711000000000001 0.0005138810883082131 2.403306646922265e-05 0.00013425469575955454 0.00025460844441164634 0.00014093183317999446 0.00023688891987570367 
5.0 0.0001418185 0.0005152138089568039 2.872298775762161e-05 0.00013850335278157706 0.0002580784729928757 0.00014514382795339657 0.00023961795215090342 
6.0 0.00015195 0.0005165499859387128 3.3412909046020565e-05 0.00014275275153282355 0.00026155084021626266 0.00014935663481983568 0.00024235490110321428 
7.0 0.0001702155 0.0005178896282177392 3.810283033441952e-05 0.00014700289201329407 0.0002650255460818076 0.00015357025377931276 0.00024509976673263624 
8.0 0.0001625795 0.000519232744780929 4.279275162281848e-05 0.00015125377422298857 0.000268502590589511 0.0001577846848318288 0.00024785254903916923 
9.0 0.00017316049999999998 0.0005205793446386355 4.748267291121744e-05 0.00015550539816190713 0.0002719819737393731 0.00016199992797738476 0.0002506132480228134 
10.0 0.000165587 0.0005219294368245804 5.21725941996164e-05 0.00015975776383004967 0.0002754636955313943 0.0001662159832159817 0.00025338186368356857 
11.0 0.000180433 0.000523283030395913 5.686251548801535e-05 0.0001640108712274162 0.00027894775596557495 0.00017043285054762046 0.00025615839602143487 
12.0 0.0001825945 0.0005246401344332724 6.155243677641431e-05 0.00016826472035400675 0.0002824341550419154 0.00017465052997230212 0.0002589428450364122 
13.0 0.000194801 0.0005260007580408476 6.624235806481327e-05 0.00017251931120982133 0.00028592289276041614 0.00017886902149002762 0.0002617352107285007 
14.0 0.00020846500000000002 0.000527364910346439 7.093227935321223e-05 0.00017677464379485988 0.0002894139691210774 0.00018308832510079799 0.0002645354930977003 
15.0 0.000220643 0.0005287326005015189 7.562220064161118e-05 0.00018103071810912248 0.0002929073841238996 0.00018730844080461415 0.00026734369214401096 
16.0 0.000235338 0.0005301038376812938 8.031212193001014e-05 0.00018528753415260907 0.0002964031377688831 0.00019152936860147713 0.00027015980786743263 
17.0 0.000248976 0.0005314786310847656 8.50020432184091e-05 0.00018954509192531965 0.00029990123005602825 0.00019575110849138786 0.00027298384026796553 
18.0 0.0002600015 0.0005328569899347931 8.969196450680806e-05 0.00019380339142725428 0.00030340166098533544 0.00019997366047434735 0.00027581578934560944 
19.0 0.0002742355 0.000534238923478154 9.4381885795207e-05 0.00019806243265841288 0.00030690443055680504 0.0002041970245503566 0.00027865565510036447 
20.0 0.0002883505 0.0005356244409856074 9.907180708360596e-05 0.00020232221561879547 0.00031040953877043743 0.00020842120071941662 0.00028150343753223056 
21.0 0.000300012 0.000537013551751955 0.00010376172837200492 0.00020658274030840211 0.0003139169856262329 0.00021264618898152833 0.00028435913664120777 
22.0 0.00031352 0.0005384062650961044 0.00010845164966040388 0.00021084400672723275 0.0003174267711241919 0.00021687198933669267 0.000287222752427296 
23.0 0.000330347 0.000539802590361131 0.00011314157094880284 0.0002151060148752874 0.0003209388952643147 0.00022109860178491072 0.0002900942848904954 
24.0 0.0003429935 0.0005412025369143414 0.0001178314922372018 0.00021936876475256605 0.0003244533580466018 0.00022532602632618345 0.00029297373403080584 
25.0 0.00035563850000000003 0.0005426061141473351 0.00012252141352560075 0.0002236322563590687 0.00032797015947105346 0.00022955426296051182 0.0002958610998482274 
26.0 0.0003531335 0.0005440133314760685 0.0001272113348139997 0.00022789648969479538 0.0003314892995376701 0.00023378331168789681 0.00029875638234276006 
27.0 0.00034604249999999997 0.0005454241983409177 0.00013190125610239867 0.00023216146475974603 0.00033501077824645204 0.00023801317250833943 0.0003016595815144038 
28.0 0.0003582475 0.0005468387242067422 0.00013659117739079762 0.00023642718155392073 0.0003385345955973997 0.0002422438454218406 0.00030457069736315864 
29.0 0.0003447745 0.0005482569185629475 0.0001412810986791966 0.00024069364007731946 0.0003420607515905134 0.00024647533042840134 0.0003074897298890246 
30.0 0.000342298 0.0005496787909235495 0.00014597101996759553 0.00024496084032994215 0.0003455892462257936 0.0002507076275280227 0.00031041667909200154 
31.0 0.000349985 0.0005511043508272383 0.0001506609412559945 0.0002492287823117888 0.00034912007950324054 0.0002549407367207056 0.0003133515449720896 
32.0 0.000347769 0.0005525336078374421 0.00015535086254439345 0.00025349746602285956 0.0003526532514228546 0.000259174658006451 0.0003162943275292888 
33.0 0.0003576365 0.0005539665715423908 0.00016004078383279242 0.00025776689146315426 0.0003561887619846362 0.0002634093913852599 0.0003192450267635991 
34.0 0.0003647245 0.0005554032515551815 0.00016473070512119137 0.000262037058632673 0.00035972661118858574 0.00026764493685713336 0.0003222036426750204 
35.0 0.000375442 0.0005568436575138418 0.00016942062640959034 0.00026630796753141574 0.0003632667990347035 0.00027188129442207225 0.0003251701752635529 
36.0 0.0002200335 0.0005582877990813951 0.00017411054769798928 0.00027057961815938247 0.00036680932552298997 0.0002761184640800777 0.00032814462452919647 
37.0 0.000221931 0.0005597356859459256 0.00017880046898638823 0.00027485201051657325 0.00037035419065344533 0.0002803564458311505 0.0003311269904719511 
38.0 0.0002481805 0.0005611873278206423 0.0001834903902747872 0.00027912514460298797 0.0003739013944260701 0.00028459523967529183 0.00033411727309181683 
39.0 0.0002778125 0.0005626427344439455 0.00018818031156318614 0.0002833990204186268 0.00037745093684086453 0.0002888348456125026 0.0003371154723887936 
40.0 0.00028426950000000003 0.0005641019155794909 0.00019287023285158512 0.00028767363796348955 0.0003810028178978291 0.00029307526364278367 0.00034012158836288156 
41.0 0.000292177 0.0005655648810162564 0.00019756015413998406 0.0002919489972375764 0.0003845570375969641 0.0002973164937661363 0.0003431356210140805 
42.0 0.0003002575 0.0005670316405686066 0.00020225007542838303 0.00029622509824088716 0.00038811359593826997 0.0003015585359825613 0.0003461575703423906 
43.0 0.000307615 0.0005685022040763588 0.00020693999671678198 0.00030050194097342196 0.000391672492921747 0.0003058013902920596 0.0003491874363478118 
44.0 0.0003136815 0.0005699765814048496 0.00021162991800518095 0.00030477952543518075 0.0003952337285473956 0.00031004505669463234 0.00035222521903034406 
45.0 0.000321423 0.0005714547824450011 0.0002163198392935799 0.00030905785162616364 0.00039879730281521604 0.0003142895351902804 0.00035527091838998736 
46.0 0.000329956 0.0005729368171133864 0.00022100976058197887 0.0003133369195463704 0.00040236321572520884 0.0003185348257790048 0.0003583245344267418 
47.0 0.0005715225 0.000574422695352297 0.0002256996818703778 0.0003176167291958012 0.0004059314672773743 0.00032278092846080655 0.0003613860671406074 
48.0 0.000573986 0.000575912427129809 0.00023038960315877676 0.0003218972805744561 0.00040950205747171273 0.00032702784323568654 0.00036445551653158396 
49.0 0.000575828 0.0005774060224398498 0.00023507952444717573 0.0003261785736823349 0.0004130749863082246 0.000331275570103646 0.0003675328825996717 
50.0 0.0005786615 0.0005789034913022663 0.00023976944573557467 0.00033046060851943783 0.0004166502537869102 0.00033552410906468564 0.00037061816534487047 
51.0 0.0005816875000000001 0.0005804048437628904 0.00024445936702397364 0.0003347433850857647 0.0004202278599077699 0.00033977346011880664 0.00037371136476718037 
52.0 0.0005765274999999999 0.0005819100898936079 0.0002491492883123726 0.0003390269033813156 0.00042380780467080417 0.00034402362326600987 0.00037681248086660134 
53.0 0.0005738885 0.0005834192397924252 0.00025383920960077153 0.0003433111634060905 0.00042739008807601316 0.00034827459850629637 0.0003799215136431334 
54.0 0.0005732405 0.0005849323035835375 0.0002585291308891705 0.0003475961651600893 0.0004309747101233974 0.00035252638583966716 0.00038303846309677657 
55.0 0.0005468755 0.0005864492914173958 0.0002632190521775695 0.00035188190864331224 0.0004345616708129573 0.00035677898526612317 0.00038616332922753084 
56.0 0.0005430645 0.0005879702134707768 0.00026790897346596845 0.0003561683938557592 0.00043815097014469304 0.0003610323967856655 0.0003892961120353962 
57.0 0.0005363655000000001 0.0005894950799468492 0.00027259889475436737 0.00036045562079743004 0.00044174260811860524 0.0003652866203982949 0.0003924368115203726 
58.0 0.0005469105 0.0005910239010752433 0.00027728881604276634 0.00036474358946832496 0.00044533658473469394 0.0003695416561040126 0.0003955854276824602 
59.0 0.000554228 0.0005925566871121195 0.0002819787373311653 0.00036903229986844386 0.0004489328999929598 0.0003737975039028195 0.0003987419605216588 
60.0 0.0005642080000000001 0.000594093448340237 0.00028666865861956423 0.0003733217519977868 0.0004525315538934031 0.0003780541637947166 0.0004019064100379685 
61.0 0.000571926 0.0005956341950690222 0.0002913585799079632 0.0003776119458563538 0.0004561325464360242 0.0003823116357797049 0.0004050787762313893 
62.0 0.000581874 0.000597178937634639 0.00029604850119636217 0.00038190288144414477 0.00045973587762082336 0.0003865699198577854 0.0004082590591019212 
63.0 0.0005925574999999999 0.0005987276864000571 0.00030073842248476114 0.0003861945587611597 0.0004633415474478011 0.00039082901602895907 0.0004114472586495641 
64.0 0.000672253 0.0006002804517551226 0.00030542834377316006 0.0003904869778073987 0.00046694955591695763 0.0003950889242932269 0.0004146433748743182 
65.0 0.0006649065 0.0006018372441166263 0.00031011826506155903 0.00039478013858286167 0.0004705599030282935 0.00039934964465058987 0.00041784740777618337 
66.0 0.000662701 0.0006033980739283745 0.000314808186349958 0.00039907404108754864 0.0004741725887818089 0.00040361117710104906 0.00042105935735515956 
67.0 0.000657801 0.0006049629516612595 0.000319498107638357 0.00040336868532145966 0.00047778761317750435 0.00040787352164460534 0.00042427922361124693 
68.0 0.000653571 0.0006065318878133285 0.0003241880289267559 0.00040766407128459457 0.0004814049762153801 0.00041213667828125973 0.00042750700654444536 
69.0 0.0006689335 0.0006081048929098553 0.00032887795021515487 0.0004119601989769537 0.0004850246778954366 0.0004164006470110133 0.00043074270615475486 
70.0 0.0003408345 0.0006096819775034099 0.00033356787150355384 0.00041625706839853674 0.0004886467182176742 0.00042066542783386694 0.0004339863224421755 
71.0 0.0003425705 0.0006112631521739303 0.00033825779279195276 0.0004205546795493437 0.0004922710971820932 0.00042493102074982176 0.0004372378554067071 
