n t exp p1 p2 p3 p4 p22 p32 
44.0 0.000450225 0.0022757538184696034 0.006053803489270951 0.00034246721195858566 0.0005259904319062818 0.0005965768570266935 0.0009587659559210864 0.0010335125007703333 
45.0 0.0004721805 0.0022879867421017937 0.006191389923530731 0.0003582107856466061 0.0005402003781020713 0.0006107061472785198 0.0009723195451698167 0.0010475816999175143 
46.0 0.0004877545 0.0023002854217131137 0.006328976357790511 0.0003743081475073842 0.0005547325730934705 0.0006251560126909443 0.000986144788281603 0.001061781821556473 
47.0 0.0021847555 0.00231265021076353 0.006466562792050291 0.0003907592975409198 0.0005695871454203909 0.0006399265879079028 0.0010002416852564456 0.0010761157750756652 
48.0 0.0022551355000000003 0.0023250814646129745 0.00660414922631007 0.000407564235747213 0.0005847642236227435 0.0006550180075733309 0.001014610236094344 0.001090586469863547 
49.0 0.0022995529999999998 0.0023375795405315546 0.00674173566056985 0.00042472296212626374 0.0006002639362404396 0.0006704304063311641 0.0010292504407952987 0.0011051968153085747 
50.0 0.0023736739999999997 0.002350144797709821 0.00687932209482963 0.00044223547667807204 0.0006160864118133902 0.0006861639188253383 0.0010441622993593094 0.001119949720799204 
51.0 0.0024106105000000003 0.0023627775972690926 0.00701690852908941 0.00046010177940263795 0.0006322317788815066 0.0007022186796997889 0.0010593458117863761 0.001134848095723891 
52.0 0.0024423910000000004 0.0023754783022718333 0.0071544949633491894 0.00047832187029996147 0.0006487001659847003 0.0007185948235984516 0.001074800978076499 0.001149894849471091 
53.0 0.0025101005 0.0023882472777320865 0.007292081397608969 0.0004968957493700425 0.0006654917016628819 0.0007352924851652623 0.001090527798229678 0.001165092891429261 
54.0 0.0025451725000000002 0.002401084890625967 0.007429667831868749 0.0005158234166128811 0.0006826065144559631 0.0007523117990441562 0.0011065262722459134 0.0011804451309868566 
55.0 0.002504326 0.002413991509902205 0.007567254266128528 0.0005351048720284773 0.0007000447329038548 0.0007696528998790695 0.0011227964001252044 0.0011959544775323341 
56.0 0.0025676215 0.002426967506492754 0.007704840700388308 0.000554740115616831 0.0007178064855464684 0.0007873159223139372 0.0011393381818675516 0.0012116238404541485 
57.0 0.0026566345 0.0024400132533234447 0.007842427134648089 0.0005747291473779424 0.0007358919009237147 0.0008053010009926955 0.001156151617472955 0.001227456129140757 
58.0 0.0027394015 0.00245312912532471 0.007980013568907868 0.0005950719673118112 0.0007543011075755054 0.00082360827055928 0.0011732367069414145 0.0012434542529806147 
59.0 0.0028234469999999998 0.0024663154994423544 0.00811760000316765 0.0006157685754184378 0.0007730342340417514 0.0008422378656576261 0.0011905934502729303 0.0012596211213621782 
60.0 0.0029195245 0.0024795727546483917 0.008255186437427427 0.0006368189716978219 0.000792091408862364 0.0008611899209316696 0.001208221847467502 0.001275959643673903 
61.0 0.00300804 0.0024929012719519333 0.008392772871687208 0.0006582231561499634 0.0008114727605772542 0.000880464571025346 0.0012261218985251295 0.0012924727293042453 
62.0 0.0031153755 0.0025063014344101405 0.008530359305946988 0.0006799811287748626 0.0008311784177263335 0.0009000619505825913 0.0012442936034458133 0.001309163287641661 
63.0 0.0032117450000000002 0.0025197736271392315 0.008667945740206769 0.0007020928895725195 0.0008512085088495129 0.0009199821942473409 0.0012627369622295532 0.0013260342280746065 
64.0 0.0036984089999999997 0.002533318237325552 0.008805532174466547 0.0007245584385429338 0.0008715631624867037 0.0009402254366635304 0.0012814519748763496 0.0013430884599915371 
65.0 0.003715426 0.0025469356542367 0.008943118608726326 0.0007473777756861058 0.0008922425071778167 0.0009607918124750956 0.0013004386413862016 0.0013603288927809094 
66.0 0.0037883025 0.002560626269232716 0.009080705042986107 0.0007705509010020352 0.0009132466714627636 0.000981681456325972 0.0013196969617591098 0.0013777584358311793 
67.0 0.003793104 0.0025743904757773274 0.009218291477245887 0.0007940778144907223 0.0009345757838814555 0.0010028945028600954 0.0013392269359950744 0.0013953799985308025 
68.0 0.0038294830000000003 0.0025882286694492596 0.009355877911505666 0.0008179585161521669 0.0009562299729738035 0.0010244310867214017 0.0013590285640940945 0.0014131964902682349 
69.0 0.003964426 0.002602141247953603 0.009493464345765446 0.0008421930059863691 0.0009782093672797186 0.001046291342553826 0.0013791018460561713 0.0014312108204319327 
70.0 0.0008545115 0.002616128611133244 0.009631050780025227 0.0008667812839933289 0.0010005140953391126 0.0010684754050013043 0.001399446781881304 0.001449425898410352 
71.0 0.000860586 0.0026301911609803545 0.009768637214285007 0.0008917233501730462 0.0010231442856918958 0.001090983408707772 0.0014200633715694925 0.0014678446335919491 
