n t exp p1 p2 p3 p4 p32 p42 ap 
22.0 0.000848964 0.004463742194611873 0.004712584906565974 0.002390808954754768 0.0012006532327135113 0.006215689493763646 0.00019397443185382735 0.0001620728247933462 0.0001640941387393271 
23.0 0.0009150359999999999 0.004487436344608375 0.004926793304467261 0.0025319406128898967 0.0012614012806622592 0.00625796964885748 0.0002120092447327989 0.00017714157916462838 0.00017817420694137947 
24.0 0.0010331165 0.004511256266372057 0.005141001702368547 0.002674453041146917 0.0013226861026046732 0.006300819383179181 0.00023084560485083584 0.000192880055952412 0.0002308456048508358 
25.0 0.0011178925 0.004535202627516546 0.005355210100269834 0.00281828867338092 0.0013845076985356103 0.006344238696728751 0.0002504835122079382 0.00020928825515669706 0.00024617723467084844 
26.0 0.0011243515 0.004559276099199256 0.005569418498171121 0.002963394552586232 0.0014468660684503391 0.0063882275895061885 0.00027092296680410595 0.00022636617677748353 0.0002621346452998411 
27.0 0.0011046089999999999 0.004583477356140189 0.005783626896072407 0.003109721798514 0.001509761212344493 0.006432786061511495 0.0002921639686393391 0.00024411382081477142 0.00027871783673781396 
28.0 0.001134007 0.00460780707664086 0.0059978352939736935 0.0032572251542591028 0.0015731931302140289 0.006477914112744668 0.0003142065177136377 0.0002625311872685608 0.000295926808984767 
29.0 0.00107342 0.004632265942603291 0.0062120436918749805 0.003405862597694848 0.0016371618220551926 0.006523611743205709 0.00033705061402700164 0.00028161827613885156 0.0003137615620406999 
30.0 0.0010571525 0.004656854639549146 0.0064262520897762675 0.0035555950065601586 0.0017016672878644883 0.0065698789528946195 0.000360696257579431 0.0003013750874256437 0.0003322220959056131 
31.0 0.0011171619999999999 0.004681573856638916 0.0066404604876775545 0.0037063858682462847 0.001766709527638655 0.006616715741811397 0.0003851434483709258 0.0003218016211289374 0.00035130841057950637 
32.0 0.0011358035 0.004706424286691259 0.006854668885578841 0.0038582010270652267 0.0018322885413746411 0.006664122109956041 0.00041039218640148597 0.0003428978772487324 0.0003710205060623797 
33.0 0.001178914 0.00473140662620241 0.007068877283480127 0.004011008463137125 0.0018984043290695854 0.006712098057328555 0.0004364424716711115 0.00036466385578502893 0.00039135838235423314 
34.0 0.0012179565 0.004756521575365692 0.007283085681381414 0.004164778098101077 0.001965056890720801 0.006760643583928936 0.0004632943041798025 0.00038709955673782686 0.0004123220394550667 
35.0 0.0012935380000000001 0.004781769838091158 0.007497294079282701 0.004319481623701068 0.0020322462263257586 0.0068097586897571845 0.0004909476839275588 0.0004102049801071262 0.00043391147736488047 
36.0 0.000947378 0.004807152122025307 0.007711502477183988 0.004475092349976264 0.0020999723358820746 0.006859443374813301 0.0005194026109143807 0.000433980125892927 0.00045612669608367416 
37.0 0.0009428015 0.004832669138570921 0.007925710875085274 0.004631585070330543 0.0021682352193874966 0.006909697639097287 0.0005486590851402678 0.0004584249940952292 0.0004789676956114481 
