n t exp p1 p2 p3 p4 p22 p32 
34.0 0.0012179565 0.004756521575365692 0.010076947411747915 0.0004318951705481197 0.0011347391845737058 0.003327530695950012 0.0012400708181403467 0.0013625754481602953 
35.0 0.0012935380000000001 0.004781769838091158 0.010373328187052642 0.00045767432207553354 0.0011768421364811113 0.0034261201944312293 0.0012682095845831262 0.0013979720411187277 
36.0 0.000947378 0.004807152122025307 0.010669708962357373 0.0004842006953715884 0.001219465599865736 0.003524772384918468 0.0012970132946858836 0.001433603722191922 
37.0 0.0009428015 0.004832669138570921 0.010966089737662102 0.0005114742904362843 0.001262610234309556 0.0036234890586118993 0.0013264819484486185 0.0014694772081827608 
38.0 0.0010201519999999999 0.004858321602907006 0.01126247051296683 0.0005394951072696212 0.0013062766993945474 0.0037222720067116967 0.0013566155458713315 0.001505599215894127 
39.0 0.0011984585 0.004884110234008837 0.011558851288271558 0.0005682631458715993 0.001350465654702686 0.003821123020418034 0.0013874140869540221 0.0015419764621289037 
40.0 0.001197056 0.004910035754668102 0.011855232063576289 0.0005977784062422182 0.0013951777598159474 0.003920043890931082 0.0014188775716966907 0.0015786156636899732 
41.0 0.001279871 0.004936098891513175 0.012151612838881018 0.0006280408883814783 0.001440413674316308 0.004019036409451015 0.001451006000099337 0.0016155235373802189 
42.0 0.001331818 0.004962300375029462 0.012447993614185747 0.0006590505922893794 0.001486174057785744 0.004118102367178006 0.001483799372161961 0.001652706800002523 
43.0 0.001380596 0.0049886409395798895 0.012744374389490474 0.0006908075179659216 0.0015324595698062303 0.004217243555312227 0.001517257687884563 0.001690172168359769 
44.0 0.0014321605 0.0050151213234254826 0.013040755164795205 0.0007233116654111047 0.0015792708699597434 0.00431646176505385 0.0015513809472671428 0.001727926359254839 
45.0 0.0014937264999999999 0.005041742268746055 0.013337135940099934 0.0007565630346249288 0.001626608617828259 0.004415758787603051 0.0015861691503097004 0.0017659760894906161 
46.0 0.001550619 0.005068504521661012 0.013633516715404663 0.0007905616256073941 0.0016744734729937532 0.00451513641416 0.0016216222970122359 0.0018043280758699828 
47.0 0.002271782 0.005095408832250263 0.01392989749070939 0.0008253074383585003 0.0017228660950382012 0.004614596435924872 0.001657740387374749 0.0018429890351958226 
48.0 0.0025967004999999997 0.005122455954575241 0.01422627826601412 0.0008608004728782475 0.0017717871435435804 0.00471414064409784 0.00169452342139724 0.0018819656842710177 
49.0 0.002665699 0.0051496466467000415 0.01452265904131885 0.0008970407291666358 0.0018212372780918651 0.004813770829879075 0.0017319713990797086 0.0019212647398984509 
50.0 0.0027032405 0.005176981670712669 0.014819039816623577 0.000934028207223665 0.0018712171582650323 0.0049134887844687536 0.0017700843204221555 0.0019608929188810052 
51.0 0.002750336 0.005204461792746389 0.015115420591928306 0.0009717629070493354 0.0019217274436450571 0.005013296299067046 0.0018088621854245798 0.0020008569380215637 
52.0 0.0027783265 0.005232087783001212 0.015411801367233035 0.0010102448286436467 0.001972768793813916 0.0051131951648741274 0.001848304994086982 0.0020411635141230084 
53.0 0.0027796405 0.005259860415765473 0.015708182142537764 0.0010494739720065991 0.002024341868353584 0.005213187173090171 0.0018884127464093622 0.0020818193639882228 
54.0 0.002770343 0.005287780469437535 0.016004562917842493 0.0010894503371381924 0.0020764473268460384 0.00531327411491535 0.0019291854423917198 0.002122831204420089 
55.0 0.0027217235 0.005315848726547601 0.016300943693147222 0.0011301739240384269 0.002129085828873255 0.005413457781549837 0.0019706230820340557 0.0021642057522214906 
56.0 0.0028064065 0.00534406597377966 0.01659732446845195 0.0011716447327073025 0.0021822580340172077 0.005513739964193805 0.0020127256653363693 0.0022059497241953105 
57.0 0.0028393324999999997 0.005372433001993515 0.01689370524375668 0.001213862763144819 0.0022359646018598744 0.005614122454047429 0.0020554931922986608 0.0022480698371444303 
58.0 0.0029204720000000003 0.005400950606246968 0.017190086019061412 0.0012568280153509768 0.00229020619198323 0.005714607042310882 0.0020989256629209297 0.002290572807871734 
59.0 0.0030338865 0.005429619585818097 0.017486466794366138 0.0013005404893257752 0.002344983463969251 0.005815195520184338 0.0021430230772031766 0.002333465353180104 
60.0 0.0030717120000000003 0.005458440744227649 0.017782847569670867 0.001345000185069215 0.002400297077399913 0.0059158896788679685 0.0021877854351454013 0.002376754189872422 
61.0 0.00314583 0.005487414889261576 0.018079228344975596 0.0013902071025812957 0.002456147691857192 0.006016691309561951 0.0022332127367476044 0.0024204460347515733 
62.0 0.0032617365 0.005516542832993663 0.018375609120280325 0.0014361612418620174 0.0025125359669230635 0.006117602203466455 0.0022793049820097845 0.0024645476046204384 
63.0 0.0033033424999999996 0.005545825391808295 0.018671989895585054 0.00148286260291138 0.002569462562179504 0.0062186241517816565 0.002326062170931942 0.0025090656162819014 
64.0 0.0038432885 0.005575263386423335 0.018968370670889783 0.0015303111857293838 0.0026269281372084895 0.006319758945707729 0.0023734843035140784 0.0025540067865388446 
65.0 0.0038252445 0.005604857641913128 0.019264751446194512 0.0015785069903160288 0.002684933351591995 0.0064210083764448455 0.002421571379756192 0.0025993778321941503 
66.0 0.0037665825000000003 0.005634608987731628 0.01956113222149924 0.0016274500166713144 0.002743478864911997 0.006522374235193182 0.002470323399658284 0.002645185470050702 
67.0 0.0036099365 0.00566451825773564 0.01985751299680397 0.0016771402647952414 0.002802565336750471 0.00662385831315291 0.002519740363220353 0.002691436416911383 
68.0 0.0036469355 0.005694586290208195 0.0201538937721087 0.0017275777346878092 0.0028621934266893946 0.006725462401524203 0.0025698222704424005 0.002738137389579075 
69.0 0.003689832 0.005724813927882047 0.020450274547413428 0.0017787624263490183 0.002922363794310741 0.006827188291507237 0.0026205691213244254 0.002785295104856661 
70.0 0.0023932134999999997 0.005755202017963286 0.020746655322718154 0.0018306943397788681 0.002983077099196487 0.006929037774302186 0.0026719809158664283 0.002832916279547025 
71.0 0.002429518 0.005785751412155091 0.021043036098022886 0.0018833734749773591 0.0030443340009286106 0.007031012641109223 0.0027240576540684095 0.0028810076304530475 
72.0 0.0024874515 0.005816462966681593 0.021339416873327615 0.0019367998319444913 0.0031061351590890842 0.007133114683128521 0.0027767993359303677 0.0029295758743776126 
73.0 0.0025044705 0.0058473375423118805 0.021635797648632344 0.001990973410680264 0.0031684812332598866 0.007235345691560257 0.0028302059614523038 0.0029786277281236046 
74.0 0.00263276 0.005878376004384118 0.021932178423937073 0.002045894211184678 0.0032313728830229926 0.007337707457604603 0.0028842775306342178 0.0030281699084939036 
75.0 0.0026347684999999997 0.005909579222829806 0.022228559199241802 0.0021015622334577336 0.003294810767960377 0.007440201772461733 0.0029390140434761096 0.0030782091322913937 
76.0 0.0026365125 0.005940948072198159 0.02252493997454653 0.0021579774774994295 0.0033587955476540184 0.007542830427331823 0.00299441549997798 0.0031287521163189573 
77.0 0.0026565545 0.005972483431680613 0.02282132074985126 0.0022151399433097668 0.00342332788168589 0.007645595213415044 0.003050481900139827 0.0031798055773794793 
78.0 0.0026991565 0.006004186185135478 0.023117701525155986 0.002273049630888745 0.0034884084296379694 0.007748497921911574 0.0031072132439616523 0.003231376232275839 
79.0 0.0028140135000000004 0.0060360572211127 0.023414082300460718 0.002331706540236364 0.003554037851092231 0.007851540344021588 0.0031646095314434553 0.003283470797810921 
80.0 0.0028383124999999997 0.006068097432878771 0.023710463075765447 0.0023911106713526246 0.003620216805630652 0.007954724270945254 0.0032226707625852367 0.0033360959907876085 
81.0 0.0028529305 0.006100307718441759 0.024006843851070176 0.002451262024237526 0.0036869459528352084 0.008058051493882754 0.003281396937386996 0.0033892585280087847 
82.0 0.0029373385 0.006132688980576487 0.024303224626374905 0.002512160598891068 0.0037542259522878748 0.008161523804034256 0.0033407880558487322 0.00344296512627733 
83.0 0.0030315705 0.006165242126849825 0.02459960540167963 0.002573806395313252 0.0038220574635706283 0.008265142992599941 0.0034008441179704464 0.0034972225023961294 
84.0 0.0030385955 0.006197968069646131 0.024895986176984363 0.002636199413504076 0.0038904411462654448 0.00836891085077998 0.0034615651237521385 0.0035520373731680647 
85.0 0.0030834715 0.0062308677261928265 0.025192366952289092 0.0026993396534635418 0.003959377659954299 0.008472829169774546 0.003522951073193809 0.00360741645539602 
86.0 0.0031639855 0.006263942018586097 0.025488747727593818 0.0027632271151916484 0.004028867664219168 0.008576899740783813 0.0035850019662954573 0.003663366465882876 
87.0 0.0032574535 0.006297191873816742 0.025785128502898547 0.002827861798688396 0.004098911818642027 0.008681124355007962 0.0036477178030570826 0.003719894121431517 
88.0 0.0032800525 0.006330618223796151 0.02608150927820328 0.0028932437039537844 0.004169510782804853 0.008785504803647164 0.003711098583478686 0.0037770061388448257 
89.0 0.00331495 0.006364222005382435 0.026377890053508008 0.0029593728309878138 0.004240665216289619 0.00889004287790159 0.003775144307560267 0.0038347092349256835 
90.0 0.0034281585 0.0063980041604066624 0.026674270828812737 0.003026249179790484 0.004312375778678304 0.008994740368971422 0.0038398549753018265 0.0038930101264769753 
91.0 0.003414412 0.0064319656356992775 0.026970651604117463 0.003093872750361796 0.004384643129552884 0.00909959906805683 0.003905230586703364 0.0039519155303015824 
92.0 0.003482533 0.006466107383116625 0.027267032379422195 0.0031622435427017485 0.004457467928495332 0.00920462076635799 0.003971271141764879 0.00401143216320239 
93.0 0.003563613 0.006500430359567638 0.027563413154726924 0.0032313615568103425 0.004530850835087627 0.009309807255075075 0.00403797664048637 0.004071566741982277 
94.0 0.0036423845 0.006534935527040643 0.02785979393003165 0.003301226792687577 0.0046047925089117425 0.009415160325408262 0.004105347082867841 0.004132325983444128 
95.0 0.0036697945000000003 0.00656962385263034 0.02815617470533638 0.003371839250333453 0.004679293609549657 0.009520681768557726 0.0041733824689092905 0.0041937166043908266 
96.0 0.004271756 0.006604496308564894 0.028452555480641108 0.0034431989297479693 0.004754354796583342 0.009626373375723644 0.004242082798610715 0.004255745321625254 
97.0 0.00440395 0.006639553872233192 0.02874893625594584 0.0035153058309311275 0.004829976729594778 0.009732236938106186 0.004311448071972119 0.004318418851950296 
98.0 0.0044613414999999995 0.006674797526212234 0.02904531703125057 0.0035881599538829267 0.0049061600681659405 0.009838274246905533 0.0043814782889935 0.004381743912168832 
99.0 0.004683525 0.006710228258294666 0.029341697806555295 0.0036617612986033663 0.004982905471878803 0.009944487093321854 0.004452173449674859 0.004445727219083748 
100.0 0.004609827 0.006745847061516482 0.029638078581860024 0.0037361098650924474 0.005060213600315342 0.010050877268555327 0.004523533554016198 0.004510375489497923 
101.0 0.0046939555 0.006781654934184838 0.029934459357164756 0.0038112056533501693 0.0051380851130575335 0.010157446563806129 0.004595558602017513 0.004575695440214241 
102.0 0.0047426805 0.006817652879906041 0.03023084013246948 0.003887048663376532 0.005216520669687355 0.010264196770274434 0.004668248593678806 0.004641693788035588 
103.0 0.0048102605 0.0068538419076136815 0.03052722090777421 0.003963638895171536 0.0052955209297867786 0.010371129679160417 0.004741603529000076 0.004708377249764844 
104.0 0.004956514 0.0068902230315969005 0.03082360168307894 0.004040976348735182 0.005375086552937785 0.010478247081664251 0.004815623407981325 0.004775752542204891 
105.0 0.004972273 0.006926797271528829 0.031119982458383672 0.004119061024067467 0.005455218198722346 0.010585550768986115 0.004890308230622552 0.004843826382158613 
106.0 0.0051280585 0.0069635656524951565 0.0314163632336884 0.004197892921168395 0.005535916526722441 0.010693042532326185 0.004965657996923755 0.004912605486428894 
