n,gen,seq,prom
149,0.0007038905,0.008567982,0.0037219985
150,0.0007111855,0.008655061,0.003757639
151,0.000715667,0.008722279,0.0038065965
152,0.0007203125,0.0089047325,0.0038832615
153,0.000736051,0.0091538185,0.004004424
154,0.0007397,0.0094385775,0.004008271
155,0.000733825,0.00915883,0.0040231335
156,0.000739835,0.009216685,0.004066326
157,0.000742876,0.0093343305,0.004135279
158,0.000746562,0.009443382,0.004169066
159,0.000753331,0.009495163,0.004233818
160,0.0007854145,0.010364972,0.0045277995
161,0.0007619115,0.009723549,0.004341802
162,0.0007669345,0.0098802685,0.004381657
163,0.0007713545,0.009928953,0.004433846
164,0.0007771565,0.0100035085,0.004491134
165,0.000779699,0.010122852,0.0045438895
166,0.000790407,0.010250514,0.0046443845
167,0.000907591,0.012339818,0.0056243725
168,0.000791508,0.0103878255,0.0047091675
169,0.000799193,0.01049809,0.0047577785
170,0.000800748,0.010632652,0.004814158
171,0.0008068455,0.010711063,0.0048654115
172,0.000809051,0.0107842175,0.0049306915
173,0.000827823,0.0112076245,0.0050451725
174,0.000835744,0.011490788,0.00512369
175,0.0008258855,0.011114843,0.005097104
176,0.0008319025,0.0113379845,0.005175197
177,0.0008347015,0.011332497,0.005230727
178,0.0008415065,0.0114444595,0.005287569
179,0.0008481445,0.0115901765,0.0053523835
180,0.0008661345,0.012321948,0.0055584415
181,0.000854367,0.0121429045,0.005480585
182,0.0008593195,0.0120279045,0.005532153
183,0.0008644135,0.011980979,0.0055539535
184,0.0008676105,0.012128043,0.005651016
185,0.0008715675,0.012208065,0.00569788
186,0.0008805295,0.0123445085,0.005794472
187,0.000910729,0.013211834,0.0060049665
188,0.0008933975,0.012607243,0.005889762
189,0.000892192,0.0126602815,0.0059429935
190,0.0008956365,0.012743685,0.0059877705
191,0.0009026145,0.012875851,0.006076595
192,0.0009106855,0.015091387,0.0061269135
193,0.0009138775,0.015699337,0.0062231215
194,0.0009377635,0.0167055285,0.0064090105
195,0.0009164355,0.016031429,0.0063397025
196,0.000922273,0.01597674,0.0063665405
197,0.000929036,0.0161326835,0.00644786
198,0.0009329395,0.0162707075,0.006502194
199,0.000934788,0.016429613,0.0065785665
200,0.000951957,0.016707011,0.0066949175
201,0.000963971,0.017293236,0.006770248
202,0.0009518755,0.016787602,0.0067700105
203,0.0009559755,0.0169356815,0.006838273
204,0.000963382,0.0170314215,0.0069055885
205,0.000966147,0.0172173725,0.006973063
206,0.0009691425,0.0173557425,0.0070477565
207,0.0009746985,0.0175155275,0.007125675
208,0.0009798835,0.017595929,0.007177459
209,0.000986821,0.0177424305,0.0072391145
210,0.0009916385,0.0178352115,0.007299487
211,0.0009929725,0.018008664,0.0073650505
212,0.0009971355,0.0181238065,0.0074449255
213,0.0010047355,0.0182709915,0.007534149
214,0.0010039745,0.018437841,0.007586411
215,0.001013099,0.018582247,0.0076674365
216,0.001023638,0.018797015,0.007781841
217,0.0010179305,0.0188552165,0.007798462
218,0.0010246885,0.018984053,0.007866413
219,0.0010294735,0.019122061,0.0079481825
220,0.001035714,0.0192501435,0.0080041025
221,0.0010356585,0.019396324,0.0080806575
222,0.0010436655,0.019537491,0.008143972
223,0.0010475765,0.019672006,0.0082133675
224,0.0010535335,0.019814348,0.008309172
225,0.0010570355,0.019973988,0.0083743685
226,0.0010642155,0.0200574035,0.0084424625
227,0.001065684,0.0202367085,0.008518821
228,0.001072368,0.0203688575,0.008588402
229,0.001074557,0.020563228,0.008690482
230,0.0010791865,0.02067503,0.008755431
231,0.00108625,0.0208225575,0.0088263525
232,0.0010910065,0.0209201095,0.0089053175
233,0.0010929815,0.021102685,0.008981195
234,0.0010965535,0.0212669835,0.0090824835
235,0.001105279,0.021392332,0.009128329
236,0.0011096195,0.021522351,0.009205602
237,0.0011116755,0.021700594,0.0092917005
238,0.0011142925,0.021832589,0.0093775965
239,0.001124307,0.0219873525,0.009449257
240,0.001127535,0.02213682,0.009537306
241,0.0011362215,0.0222378255,0.009617921
242,0.0011375385,0.0224259815,0.009694845
243,0.001140284,0.0225721795,0.009774429
244,0.0011474795,0.02273935,0.009872224
245,0.0011541555,0.02287933,0.009942661
246,0.0011526945,0.0230497325,0.0100298485
247,0.001163628,0.02320064,0.010094988
248,0.00116336,0.02335775,0.010207591
